"location","humidity","temperature","pressure"
"Hurzuf,UA","100","296.698","1012.1"
"Novinki,RU","87","295.798","1027.42"
"Holubynka,UA","100","296.698","1012.1"
"Mar’ina Roshcha,RU","87","295.798","1027.42"
"Laspi,UA","64","278.448","852.33"
"Vinogradovo,RU","63","289.398","845.12"
"Qarah Gawl al ‘Ulyā,IQ","93","292.15","1019"
"Cherkizovo,RU","63","289.398","845.12"
"Zavety Il’icha,RU","87","295.798","1027.42"
"‘Azriqam,IL","93","292.15","1019"
"Tyuzler,UA","63","289.398","845.12"
"Zaponor’ye,RU","63","289.398","845.12"
"Il’ichëvka,UA","100","296.698","1012.1"
"Partyzans’ke,UA","98","296.948","1031.71"
"Yurevichi,RU","100","296.698","1012.1"
"Gumist’a,GE","82","275.898","834.25"
"Ptitsefabrika,GE","100","296.698","1012.1"
"Orekhovo,GE","100","296.698","1012.1"
"Dzhaga,RU","63","289.398","845.12"
"Tret’ya Rota,RU","63","289.398","845.12"
"Mkuze,ZA","98","296.948","1031.71"
"İstanbul,TR","100","296.698","1012.1"
"Vavibet,RU","87","295.798","1027.42"
"Rīgas Rajons,LV","81","304.898","1019.15"
"Verkhneye Shchekotikhino,RU","63","289.398","845.12"
"Bucha,UA","100","296.698","1012.1"
"Republic of Poland,PL","81","304.898","1019.15"
